feature,mean_abs_shap
P_roll12,0.2864757916589176
T_roll12,0.07177997129700897
T_anom,0.012569729069142265
T_lag6,0.00978972233666578
T_lag5,0.006505650507230729
TMAX_anom,0.006256291196168924
YEAR,0.005804480493007546
TMIN_lag6,0.003421316088794589
MONTH,0.003403526563381267
TMAX,0.00160321846541249
month_cos,0.0015344184821204085
P_lag2,0.001481580143674779
P,0.0014066579922316302
P_lag6,0.001388712059407074
TMIN_anom,0.001221799174643246
TMAX_lag1,0.0011145647963581053
P_roll3,0.0010831316871747077
T_lag1,0.0009531922880827947
PET,0.0009235349915510788
T_lag3,0.0007335299588920893
TMAX_lag5,0.0007165311564047348
TMIN_lag3,0.0006830323107660978
TMIN_lag5,0.000678280694519065
T_roll3,0.000672328529063283
P_lag3,0.0006537052706674156
TMIN_lag1,0.000647434569123545
T_roll6,0.0006280918097042972
P_roll6,0.0005887568086065762
P_lag5,0.0005557466558656287
T_lag4,0.0005510803087323885
P_anom,0.0005092619564903831
T_lag2,0.0004986181063182222
TMIN_lag2,0.0004902368951405135
TMAX_lag6,0.0004274914263876844
TMAX_lag2,0.0003908386395562701
TMIN_lag4,0.00036634618675159865
P_lag4,0.0003541587161991326
P_lag1,0.00034026588903737065
T,0.0003253722542626347
TMAX_lag3,0.0003027112284806272
TMAX_lag4,0.0002931215138971965
month_sin,0.00028646607376550383
TMIN,0.00028137030177914987
