feature,mean_abs_shap
month_sin,0.2708004528596013
P_roll3,0.21175520733856326
TMIN_lag2,0.12754679519760603
P_anom,0.12405693910372448
P_roll12,0.09666180980154197
P_lag2,0.0876460846806686
P_lag1,0.08367022684148792
T_roll6,0.06969287994339474
TMAX_lag5,0.06361059461594938
TMAX_anom,0.042131403224256035
YEAR,0.040368883452025536
TMIN_lag3,0.03682938491779057
P_roll6,0.034907019807063386
TMAX_lag2,0.03350982405361241
T_roll12,0.03172231202849568
P_lag3,0.025277266477186405
P_lag4,0.02272402165379741
T_roll3,0.021803489647130237
T_lag2,0.018574419615848582
TMAX_lag1,0.01835694577558713
P_lag5,0.017982600021345555
T_lag1,0.016406107292701852
TMIN_lag1,0.013223963879661408
TMAX,0.01160155281132048
TMIN_lag5,0.01151447835214025
P,0.011438957784959491
P_lag6,0.010596248514902028
PET,0.010408607250663632
TMAX_lag6,0.010175427485463158
MONTH,0.009521259805519629
T_lag6,0.007164413587966567
T,0.006997787093200794
T_anom,0.006214675786194627
TMIN,0.006044275467875037
TMIN_lag6,0.00583515745470338
T_lag4,0.004880329525222853
TMIN_lag4,0.004735342529730634
TMAX_lag3,0.004509982413401942
T_lag3,0.0044631932237519465
T_lag5,0.003638263669783013
TMAX_lag4,0.003392332055562197
TMIN_anom,0.003129924485147058
month_cos,0.0015070843468512115
