feature,mean_abs_shap
P_roll12,0.2780347850302346
MONTH,0.24517513161139953
TMIN_anom,0.23584532924328241
T_anom,0.20404199795120195
P_roll6,0.1853124933520862
TMAX_anom,0.10830299482081865
P,0.045553379422997343
T_lag5,0.04372844726643515
T_roll12,0.0391642793427947
P_roll3,0.03785799579051056
TMAX,0.03295477600116706
P_lag5,0.027172673787972442
P_lag1,0.025577226378198304
TMAX_lag4,0.02474235780006143
TMIN_lag3,0.02367507509555173
TMAX_lag6,0.023487261440105982
TMIN,0.022798416477568872
P_lag3,0.021176505581139888
P_lag4,0.016617835637182655
P_lag6,0.01542336489303507
P_anom,0.015308139217225911
TMAX_lag5,0.01507318151355943
T_roll6,0.014851695334066136
PET,0.014808226226981655
TMAX_lag2,0.014508312182776548
YEAR,0.013344418888344464
TMIN_lag4,0.013338805060016615
TMIN_lag5,0.01189529842064969
TMAX_lag3,0.011604897381262401
T_lag4,0.011220882326535439
TMIN_lag2,0.00994276362909691
month_cos,0.009132433105223752
month_sin,0.007607036389297143
TMIN_lag1,0.007464281316381519
T_lag2,0.007395253948270693
TMIN_lag6,0.006538674838871213
T,0.005981560199655322
T_roll3,0.00595215438747242
TMAX_lag1,0.005592222548808072
T_lag1,0.0038501228185684818
T_lag6,0.003515925326194663
P_lag2,0.002777501205231275
T_lag3,0.0013938221940540975
