feature,mean_abs_shap
P_roll12,0.21767264584996607
MONTH,0.21205056691810614
P_roll6,0.2027297652309225
TMIN_anom,0.15439874696410258
T_anom,0.12010417542323601
TMAX_anom,0.09923843108132643
TMAX_lag3,0.03693526574930738
T_lag5,0.03609615964473512
P_lag5,0.03406122057270998
T_roll12,0.03153547551084846
P_lag4,0.030818907576839562
T_lag4,0.02947884865373996
T_lag3,0.02668727114741176
P_lag3,0.0258612973197115
P,0.025642680374987018
TMAX_lag6,0.025345669842634186
P_roll3,0.02026613275255336
TMIN_lag4,0.019113263441645406
TMAX_lag2,0.018705676156658548
P_anom,0.01828362039936485
TMIN_lag3,0.018028254609089342
TMIN_lag5,0.0177467207883521
P_lag1,0.01702649569991404
month_sin,0.01597931082282803
TMAX_lag5,0.014925294552525578
TMAX_lag4,0.011718336508469004
P_lag2,0.011688806220154902
TMIN_lag1,0.011023191215146022
PET,0.01057944466588376
TMAX,0.010240597984395817
YEAR,0.010235207195228378
TMIN_lag6,0.0093042423971734
T_roll6,0.008380063543946053
T_lag2,0.008325161348900526
TMIN_lag2,0.00813023651945913
TMIN,0.007818636617704103
month_cos,0.007120191693394236
T,0.0057694775263922886
T_lag6,0.005637547131849687
TMAX_lag1,0.004781407452634541
T_lag1,0.004525723557317019
P_lag6,0.00384158936134977
T_roll3,0.0037062612913663744
