feature,mean_abs_shap
P_roll12,0.2518386761761692
T_roll12,0.088949319344784
T_anom,0.013520669677208582
TMAX_anom,0.00918785563605727
P_anom,0.0049291368544057065
P,0.004358461726951866
TMIN_lag6,0.004282369113362183
P_roll6,0.0037041956824459465
PET,0.0031669309413016353
P_lag1,0.0031104114620844484
TMIN_lag5,0.002694435491209978
T_lag5,0.0026546040001694292
P_lag3,0.0023481492097961196
P_lag2,0.0023316698433625774
P_roll3,0.0021721921769778402
T_lag2,0.001989629393015891
TMIN_lag4,0.0018351975770933317
T_lag3,0.0017574674475772773
TMAX_lag6,0.001733409024081595
T_lag6,0.0017043449580357742
MONTH,0.0016370639731188342
P_lag6,0.001529499240240892
TMIN,0.0015291950870134955
YEAR,0.001480711566601172
P_lag4,0.0014457966695289011
T,0.001432209092052633
month_sin,0.001239473276878505
TMIN_anom,0.0012207862262461205
month_cos,0.00121521749090771
TMAX_lag3,0.0011750289186068328
TMAX_lag4,0.0010430296287426205
T_roll6,0.0009973652597836278
T_lag4,0.0009932115941949616
P_lag5,0.0009801517755461048
TMIN_lag3,0.000876685060917203
T_roll3,0.0008467677388011126
TMAX_lag2,0.0008143714477424616
TMIN_lag1,0.0007880365804547111
TMAX_lag5,0.0007703138043960952
T_lag1,0.0007243393201161708
TMAX,0.0007195723753732545
TMIN_lag2,0.0006230751967395339
TMAX_lag1,0.0006032566437698662
