feature,mean_abs_shap
MONTH,0.2628721087161554
P_roll12,0.2591795401212463
T_anom,0.16330104766862377
P_roll6,0.1546547281758121
TMAX_anom,0.1499309048913016
TMIN_anom,0.14057882970141447
TMIN_lag5,0.02770320628453231
T_lag4,0.015622007743503773
TMAX_lag3,0.015319798086658974
TMAX_lag2,0.01388378880327743
T_roll12,0.013638725464400535
T_lag5,0.011875034428312411
P_roll3,0.011837834716811314
P_anom,0.009566927370668415
P_lag3,0.008956319430687481
TMIN_lag4,0.008164713238053574
TMAX,0.0075596205171338995
YEAR,0.00725459336132578
P_lag5,0.006924630745171489
T,0.005699951266514564
P_lag4,0.005655854877061985
TMAX_lag4,0.005594424521290508
T_lag2,0.005414649014716512
TMAX_lag6,0.005395189613077989
TMIN_lag3,0.005264029935316804
TMAX_lag5,0.004491518410732855
T_lag3,0.0036499796013924075
TMAX_lag1,0.003588158805393884
month_sin,0.0035079857139520463
TMIN_lag2,0.0032859534122234944
TMIN_lag6,0.002744457059723661
T_roll6,0.002692075404758951
PET,0.002505785097385606
P_lag1,0.0024239385026267133
P_lag6,0.0021468790409407924
month_cos,0.001751690310448828
T_roll3,0.0017040778355582463
P_lag2,0.0016803184213837925
T_lag1,0.0016110165708317747
T_lag6,0.0015116528135036026
P,0.001467935532238034
TMIN_lag1,0.0014098021192943794
TMIN,0.0009980941885943126
