feature,mean_abs_shap
month_sin,0.2413744392848372
P_roll3,0.1091329001122517
P_lag1,0.10819008565864249
P_anom,0.10327113217286275
P_lag2,0.09940172404087932
P_roll12,0.0723119052049518
TMIN_lag2,0.05634197811017047
TMAX_lag5,0.03988923839322612
TMAX_lag2,0.03956643670971909
T_lag2,0.03762622757283097
T_roll6,0.03305149143170271
P_roll6,0.027941864285040835
P,0.020160635574184817
TMIN_lag3,0.01918326273795002
P_lag4,0.018222513200243994
TMAX_anom,0.01622187937790813
MONTH,0.015760340982840307
TMIN_lag4,0.015673047239898357
T_lag4,0.014645951370734022
TMAX_lag1,0.013608154269703689
P_lag5,0.011292161658817279
TMAX,0.0104373496251358
TMIN_anom,0.009323519531043484
P_lag6,0.008867118045036397
P_lag3,0.008757571135801329
YEAR,0.008375837902519652
TMIN_lag1,0.007933637587837501
TMAX_lag6,0.007757002518497962
TMAX_lag4,0.007726589715192978
T_lag1,0.007693207520827448
month_cos,0.007590383503359096
T_lag5,0.007373291059360055
PET,0.0072581793347987825
TMAX_lag3,0.00683313787180611
T_anom,0.006563000438989372
T_roll3,0.005833217359748137
T_roll12,0.005821954053148497
TMIN_lag5,0.005245341666378535
TMIN_lag6,0.004408833996107795
T_lag3,0.0042219376956993005
T,0.0039849036618570125
TMIN,0.0017352897046063384
T_lag6,0.0016043705082509458
