PERIODO,ENTIDAD,MINIMA,MEDIA,MAXIMA,PRECIPITACION
1992-09-01T00:00:00,Estado de México,9.1,15,21,244
1992-10-01T00:00:00,Estado de México,7.2,14.1,21.1,108.8
1992-11-01T00:00:00,Estado de México,5.5,13.2,20.9,42.5
1992-12-01T00:00:00,Estado de México,3.3,12.2,21,5.2
1993-01-01T00:00:00,Estado de México,3.4,12.1,20.8,8.2
1993-02-01T00:00:00,Estado de México,4,13.2,22.5,9.8
1993-03-01T00:00:00,Estado de México,5.3,14.6,23.9,5.1
1993-04-01T00:00:00,Estado de México,7,15.8,24.6,17.9
1993-05-01T00:00:00,Estado de México,8.2,16.6,25.1,14.8
1993-06-01T00:00:00,Estado de México,9.6,16.2,22.9,140.4
1993-07-01T00:00:00,Estado de México,8.9,15.3,21.8,154.4
1993-08-01T00:00:00,Estado de México,9,15.2,21.4,98
1993-09-01T00:00:00,Estado de México,8.8,14.8,20.8,140.1
1993-10-01T00:00:00,Estado de México,7.4,14.4,21.5,18.7
1993-11-01T00:00:00,Estado de México,5.3,13.5,21.8,11
1993-12-01T00:00:00,Estado de México,3.6,12.5,21.4,0
1994-01-01T00:00:00,Estado de México,3.2,12,20.7,3.2
1994-02-01T00:00:00,Estado de México,4.4,13.3,22.1,0.6
1994-03-01T00:00:00,Estado de México,5.6,14.9,24.2,4.6
1994-04-01T00:00:00,Estado de México,7.3,16.1,24.9,41
1994-05-01T00:00:00,Estado de México,9,17.2,25.5,18.8
1994-06-01T00:00:00,Estado de México,9.6,16.2,22.8,83.9
1994-07-01T00:00:00,Estado de México,8.8,15.2,21.7,92.5
1994-08-01T00:00:00,Estado de México,9.5,15.3,21.1,167.9
1994-09-01T00:00:00,Estado de México,8.7,14.9,21.2,96.7
1994-10-01T00:00:00,Estado de México,6.9,14.1,21.4,38.3
1994-11-01T00:00:00,Estado de México,5.3,13.4,21.5,2.6
1994-12-01T00:00:00,Estado de México,4,12.3,20.7,4.4
1995-01-01T00:00:00,Estado de México,2.6,11.6,20.7,15.3
1995-02-01T00:00:00,Estado de México,3.9,13,22.1,9.4
1995-03-01T00:00:00,Estado de México,4.7,14.2,23.6,7.4
1995-04-01T00:00:00,Estado de México,6.6,15.7,24.8,6.3
1995-05-01T00:00:00,Estado de México,8.8,17.2,25.6,70.9
1995-06-01T00:00:00,Estado de México,9.4,16.1,22.8,103.6
1995-07-01T00:00:00,Estado de México,9.1,15.4,21.7,117.6
1995-08-01T00:00:00,Estado de México,9.5,15.4,21.2,137.4
1995-09-01T00:00:00,Estado de México,9.1,15.5,21.8,74.8
1995-10-01T00:00:00,Estado de México,6.8,14.1,21.4,27.4
1995-11-01T00:00:00,Estado de México,4.7,12.9,21.1,27.7
1995-12-01T00:00:00,Estado de México,3.6,11.8,20.1,13.6
1996-01-01T00:00:00,Estado de México,1.9,11.1,20.4,0
1996-02-01T00:00:00,Estado de México,3.9,13.2,22.5,0.4
1996-03-01T00:00:00,Estado de México,5,14.2,23.3,2.3
1996-04-01T00:00:00,Estado de México,6.5,15.1,23.8,19.9
1996-05-01T00:00:00,Estado de México,8,16.2,24.4,25
1996-06-01T00:00:00,Estado de México,9.3,16.2,23.2,91.4
1996-07-01T00:00:00,Estado de México,9.2,15.8,22.5,96.7
1996-08-01T00:00:00,Estado de México,8.8,15.4,22.1,93
1996-09-01T00:00:00,Estado de México,9.1,15.6,22.1,159.4
1996-10-01T00:00:00,Estado de México,7.2,14.3,21.5,64.3
1996-11-01T00:00:00,Estado de México,4.7,13,21.3,1.5
1996-12-01T00:00:00,Estado de México,3.5,12.1,20.7,5.8
1997-01-01T00:00:00,Estado de México,2,11.1,20.3,2
1997-02-01T00:00:00,Estado de México,3.1,12.7,22.3,1
1997-03-01T00:00:00,Estado de México,5.1,14.6,24.1,19.9
1997-04-01T00:00:00,Estado de México,7.1,16.2,25.3,25.3
1997-05-01T00:00:00,Estado de México,7.9,16.9,26,33.7
1997-06-01T00:00:00,Estado de México,9.7,17.3,25,93.6
1997-07-01T00:00:00,Estado de México,9.3,16.1,22.9,129.7
1997-08-01T00:00:00,Estado de México,9,15.8,22.6,96.3
1997-09-01T00:00:00,Estado de México,9.7,15.6,21.6,86.9
1997-10-01T00:00:00,Estado de México,7.8,14.4,21,35.8
1997-11-01T00:00:00,Estado de México,6.1,13.8,21.5,11.6
1997-12-01T00:00:00,Estado de México,3.3,12.1,20.9,4.6
1998-01-01T00:00:00,Estado de México,1.7,11.2,20.7,6.3
1998-02-01T00:00:00,Estado de México,2.6,12.4,22.2,0
1998-03-01T00:00:00,Estado de México,4.8,14.6,24.5,0
1998-04-01T00:00:00,Estado de México,7.2,17,26.9,2
1998-05-01T00:00:00,Estado de México,8,17.6,27.3,3
1998-06-01T00:00:00,Estado de México,9.7,17.4,25.2,81.5
1998-07-01T00:00:00,Estado de México,9.1,15.8,22.5,86.8
1998-08-01T00:00:00,Estado de México,9.4,15.8,22.2,119
1998-09-01T00:00:00,Estado de México,9.4,15.3,21.2,183.9
1998-10-01T00:00:00,Estado de México,7.6,14,20.4,74.9
1998-11-01T00:00:00,Estado de México,4.9,12.9,20.9,15.3
1998-12-01T00:00:00,Estado de México,2.3,11.4,20.4,0.3
1999-01-01T00:00:00,Estado de México,1.5,11.2,20.9,0.1
1999-02-01T00:00:00,Estado de México,3,12.7,22.4,1.6
1999-03-01T00:00:00,Estado de México,5.1,14.6,24.2,5.8
1999-04-01T00:00:00,Estado de México,6.8,16.3,25.8,7.8
1999-05-01T00:00:00,Estado de México,8,16.5,25.1,18.1
